iptelnet;porta;label;rede_origem;status_telnet;status_ping;
10.192.72.167;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.168;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.169;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.170;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.171;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.172;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.173;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.174;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.175;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.176;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.177;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.178;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.179;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.180;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.181;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.182;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.183;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.184;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.185;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.186;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.187;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.188;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.189;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.190;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.191;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.192;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.193;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.194;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.195;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.196;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.197;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.198;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.199;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.200;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.201;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.202;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.203;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.204;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.205;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.206;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.207;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.208;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.209;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.210;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.211;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.212;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.213;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.214;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.215;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.216;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.217;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.218;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.219;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.220;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.221;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.222;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.223;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.224;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.225;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.226;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.227;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.228;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.229;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.230;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.231;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.232;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.233;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.234;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.235;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.236;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.237;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.238;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.239;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.240;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.241;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.242;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.243;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.244;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.245;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.246;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.247;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.248;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.249;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.250;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.251;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.252;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.253;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.254;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.1;3389;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.2;3389;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.3;3389;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.4;3389;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.5;3389;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.6;3389;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.7;3389;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.8;3389;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.9;3389;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.10;3389;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.11;3389;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.12;3389;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.13;3389;Tuffin 37308;10.192.72.0/24;naook;falha;
